"Segment Name"
"Initial_State"
"Propagate"
"PRM1_Target.Maneuver"
"PRM1_Target.Propagate"
"ARB1"
"Propagate1"
"ARB2"
"Propagate2"
"ARB3"
"Propagate3"
"Final_ARB.Maneuver"
"Final_ARB.Propagate"
"Final_PRM.Maneuver"
"Final_PRM.Propagate"
"Propagate4"

"Time (UTCG)","X (km)","Y (km)","Z (km)","Vx (km/sec)","Vy (km/sec)","Vz (km/sec)"
7 Jan 2027 01:29:24.386,-25013.020696,-14423.683364,-7363.693031,3.153220,-0.626865,-0.316888
7 Jan 2027 01:36:58.661,-23541.090608,-14685.066860,-7495.707235,3.328524,-0.521693,-0.263192
7 Jan 2027 01:44:06.069,-22081.778104,-14884.564979,-7596.212448,3.501508,-0.409496,-0.205918
7 Jan 2027 01:50:48.052,-20640.218727,-15025.653052,-7666.982200,3.672064,-0.290000,-0.144928
7 Jan 2027 01:57:06.022,-19220.786246,-15111.736584,-7709.753888,3.840038,-0.162905,-0.080070
7 Jan 2027 02:03:01.345,-17827.201387,-15146.120344,-7726.213117,4.005225,-0.027890,-0.011177
7 Jan 2027 02:08:35.346,-16462.564938,-15131.988752,-7717.983729,4.167367,0.115397,0.061926
7 Jan 2027 02:13:49.302,-15129.434612,-15072.386469,-7686.617977,4.326147,0.267329,0.139433
7 Jan 2027 02:18:44.444,-13829.865830,-14970.202597,-7633.588502,4.481187,0.428309,0.221546
7 Jan 2027 02:23:21.953,-12565.476596,-14828.157933,-7560.281887,4.632039,0.598767,0.308486
7 Jan 2027 02:27:42.957,-11337.510008,-14648.796974,-7467.994632,4.778177,0.779159,0.400485
7 Jan 2027 02:31:48.534,-10146.868984,-14434.479411,-7357.928838,4.918985,0.969970,0.497790
7 Jan 2027 02:35:39.712,-8994.163120,-14187.374031,-7231.189140,5.053746,1.171711,0.600660
7 Jan 2027 02:39:17.463,-7879.786644,-13909.463274,-7088.785074,5.181628,1.384915,0.709367
7 Jan 2027 02:42:42.705,-6803.958602,-13602.545696,-6931.632360,5.301660,1.610127,0.824190
7 Jan 2027 02:45:56.293,-5766.820983,-13268.260178,-6760.565305,5.412712,1.847887,0.945402
7 Jan 2027 02:48:59.007,-4768.558704,-12908.134548,-6576.361654,5.513465,2.098687,1.073255
7 Jan 2027 02:51:51.536,-3809.546419,-12523.669833,-6379.785621,5.602386,2.362904,1.207939
7 Jan 2027 02:54:34.446,-2890.587896,-12116.504106,-6171.671540,5.677705,2.640672,1.349524
7 Jan 2027 02:57:08.154,-2013.120782,-11688.629658,-5953.034669,5.737433,2.931709,1.497864
7 Jan 2027 02:59:32.915,-1179.328246,-11242.637197,-5725.195715,5.779436,3.235112,1.652500
7 Jan 2027 03:01:48.883,-391.782897,-10781.745911,-5489.795937,5.801602,3.549285,1.812617
7 Jan 2027 03:03:56.241,347.364156,-10309.466107,-5248.624715,5.802029,3.872122,1.977142
7 Jan 2027 03:05:55.339,1037.264272,-9828.968995,-5003.297849,5.779130,4.201408,2.144945
7 Jan 2027 03:07:46.729,1678.617364,-9342.625241,-4755.022270,5.731591,4.535136,2.315003
7 Jan 2027 03:09:31.108,2273.317087,-8851.895639,-4504.540573,5.658244,4.871599,2.486445
7 Jan 2027 03:11:09.224,2823.835533,-8357.517506,-4252.226414,5.557957,5.209282,2.658497
7 Jan 2027 03:12:41.816,3332.790820,-7859.694936,-3998.181752,5.429573,5.546732,2.830417
7 Jan 2027 03:14:09.579,3802.664696,-7358.273195,-3742.325911,5.271883,5.882436,3.001433
7 Jan 2027 03:14:39.351,3958.700676,-7181.402208,-3652.081347,5.209372,5.999517,3.061074
7 Jan 2027 03:15:39.351,4267.240630,-6814.118483,-3464.691933,5.071733,6.244201,3.185711
7 Jan 2027 03:17:01.729,4676.042871,-6285.626837,-3195.074339,4.845795,6.587961,3.360795
7 Jan 2027 03:18:21.090,5050.491509,-5749.472673,-2921.571583,4.582996,6.924294,3.532065
7 Jan 2027 03:19:37.096,5387.812573,-5210.919352,-2646.868722,4.285344,7.246648,3.696179
7 Jan 2027 03:20:50.392,5689.989496,-4668.512524,-2370.224277,3.952275,7.552492,3.851838
7 Jan 2027 03:22:01.662,5958.773708,-4119.945475,-2090.462860,3.582812,7.839287,3.997742
7 Jan 2027 03:23:11.632,6195.469198,-3562.044632,-1805.968026,3.175449,8.104265,4.132470
7 Jan 2027 03:24:20.171,6398.223648,-2998.319955,-1518.532228,2.734204,8.341174,4.252831
7 Jan 2027 03:25:26.415,6564.177260,-2438.935125,-1233.339841,2.270323,8.542363,4.354928
7 Jan 2027 03:26:30.617,6694.651573,-1885.080339,-950.999110,1.789429,8.705458,4.437550
7 Jan 2027 03:27:33.090,6791.169074,-1337.169683,-671.722630,1.296909,8.829148,4.500032
7 Jan 2027 03:28:34.206,6855.244029,-794.810431,-395.311865,0.797580,8.912995,4.542154
7 Jan 2027 03:29:34.379,6888.168956,-256.964925,-121.239872,0.295633,8.957153,4.563996
7 Jan 2027 03:30:34.035,6890.865390,277.724300,151.182835,-0.205171,8.962125,4.565818
7 Jan 2027 03:31:31.744,6865.118163,794.171416,414.269487,-0.686013,8.930255,4.548847
7 Jan 2027 03:32:27.963,6813.590605,1294.557445,669.132389,-1.145090,8.865693,4.515204
7 Jan 2027 03:33:26.150,6733.494728,1807.686511,930.439961,-1.604934,8.766250,4.463742
7 Jan 2027 03:34:26.900,6621.952010,2336.264800,1199.563430,-2.063123,8.630378,4.393678
7 Jan 2027 03:35:30.589,6476.008075,2880.568438,1476.635464,-2.514632,8.457387,4.304670
7 Jan 2027 03:36:36.445,6295.977112,3430.887373,1756.706346,-2.946628,8.251297,4.198795
7 Jan 2027 03:37:44.828,6080.272233,3987.152629,2039.735418,-3.355184,8.014486,4.077280
7 Jan 2027 03:38:56.015,5827.595596,4548.361484,2325.206965,-3.736262,7.750242,3.941814
7 Jan 2027 03:40:08.604,5543.666515,5100.789765,2606.137209,-4.079102,7.469029,3.797761
7 Jan 2027 03:41:20.519,5239.417111,5627.719021,2874.027953,-4.375270,7.184685,3.652198
7 Jan 2027 03:42:33.336,4911.160057,6140.366334,3134.587173,-4.634071,6.895971,3.504480
7 Jan 2027 03:43:47.998,4556.493119,6644.274269,3390.633937,-4.860252,6.603262,3.354793
7 Jan 2027 03:45:05.182,4173.548180,7142.475915,3643.709729,-5.056697,6.307601,3.203665
7 Jan 2027 03:45:35.763,4017.850468,7333.613783,3740.784226,-5.125007,6.192988,3.145097
7 Jan 2027 03:46:35.763,3706.788417,7698.413139,3926.026591,-5.240665,5.968110,3.030226
7 Jan 2027 03:48:11.990,3194.952544,8255.914840,4209.041175,-5.390613,5.622272,2.853630
7 Jan 2027 03:49:52.575,2646.546906,8804.117387,4487.235677,-5.507563,5.281640,2.679764
7 Jan 2027 03:51:39.030,2055.283364,9348.234171,4763.253867,-5.595086,4.944897,2.507951
7 Jan 2027 03:53:32.184,1418.488152,9888.755414,5037.340380,-5.655261,4.613258,2.338804
7 Jan 2027 03:55:32.918,733.338301,10425.801064,5309.550959,-5.690012,4.287817,2.172878
7 Jan 2027 03:57:42.132,-2.863424,10958.970502,5579.676453,-5.701149,3.969656,2.010720
7 Jan 2027 04:00:00.712,-792.419634,11487.265587,5847.204169,-5.690435,3.659896,1.852896
7 Jan 2027 04:02:29.495,-1636.979644,12009.072403,6111.309118,-5.659647,3.359692,1.699991
7 Jan 2027 04:05:09.233,-2537.309229,12522.198988,6370.873712,-5.610630,3.070203,1.552590
7 Jan 2027 04:08:00.598,-3493.330997,13024.076434,6624.590130,-5.545298,2.792468,1.411218
7 Jan 2027 04:11:04.224,-4504.395690,13512.024046,6871.094829,-5.465595,2.527282,1.276275
7 Jan 2027 04:14:20.779,-5569.713225,13983.495762,7109.093176,-5.373407,2.275097,1.147986
7 Jan 2027 04:17:51.025,-6688.683495,14436.182993,7337.411133,-5.270482,2.036016,1.026399
7 Jan 2027 04:21:35.856,-7861.067020,14867.995590,7554.985199,-5.158381,1.809856,0.911417
7 Jan 2027 04:25:36.305,-9086.959463,15276.956572,7760.808824,-5.038457,1.596234,0.802841
7 Jan 2027 04:29:53.536,-10366.674255,15661.086265,7953.873628,-4.911875,1.394653,0.700416
7 Jan 2027 04:34:28.838,-11700.631709,16018.316558,8133.125948,-4.779623,1.204561,0.603857
7 Jan 2027 04:39:23.617,-13089.238219,16346.424888,8297.433461,-4.642542,1.025390,0.512872
7 Jan 2027 04:44:39.389,-14532.773571,16642.989687,8445.562726,-4.501346,0.856579,0.427175
7 Jan 2027 04:50:17.784,-16031.330753,16905.369888,8576.168868,-4.356639,0.697584,0.346486
7 Jan 2027 04:56:20.539,-17584.705328,17130.682196,8687.784233,-4.208932,0.547890,0.270541
7 Jan 2027 05:02:49.507,-19192.355397,17315.797694,8778.816742,-4.058654,0.407009,0.199092
7 Jan 2027 05:09:46.655,-20853.309873,17457.333387,8847.545775,-3.906164,0.274481,0.131902
7 Jan 2027 05:17:14.066,-22566.092470,17551.651377,8892.121906,-3.751757,0.149877,0.068754
7 Jan 2027 05:25:13.943,-24328.649441,17594.861377,8910.568336,-3.595672,0.032799,0.009441
7 Jan 2027 05:33:48.607,-26138.250568,17582.825509,8900.783535,-3.438095,-0.077127,-0.046224
7 Jan 2027 05:43:00.501,-27991.408435,17511.167765,8860.546231,-3.279167,-0.180247,-0.098420
7 Jan 2027 05:52:52.190,-29883.777026,17375.286378,8787.521916,-3.118982,-0.276879,-0.147309
