"Time (UTCG)","x (km)","y (km)","z (km)"
7 Jan 2027 21:53:00.860,-50128.198806,13994.748560,6961.491302
7 Jan 2027 22:12:11.951,-52022.645337,13083.161139,6491.030903
7 Jan 2027 22:32:34.662,-53844.259083,12066.939785,5967.525177
7 Jan 2027 22:54:12.031,-55571.923536,10942.738308,5389.339658
7 Jan 2027 23:17:06.939,-57181.917292,9707.903960,4755.201598
7 Jan 2027 23:41:22.182,-58647.834714,8360.557668,4064.241091
8 Jan 2027 00:07:00.593,-59940.409768,6899.637669,3316.013880
8 Jan 2027 00:34:05.420,-61027.278572,5324.716421,2510.408905
8 Jan 2027 01:02:41.679,-61872.610397,3634.882596,1647.080188
8 Jan 2027 01:32:11.771,-62425.013902,1873.351800,748.204600
8 Jan 2027 02:02:00.777,-62657.978770,83.265471,-164.160668
8 Jan 2027 02:28:23.966,-62592.939562,-1501.524485,-970.997432
8 Jan 2027 02:56:34.754,-62242.047206,-3187.083151,-1828.208559
8 Jan 2027 03:26:17.544,-61554.872157,-4947.913317,-2722.643265
8 Jan 2027 03:56:04.170,-60534.724893,-6685.808725,-3604.300857
8 Jan 2027 04:24:40.460,-59235.199344,-8320.036280,-4432.244541
8 Jan 2027 04:51:46.177,-57706.955072,-9826.329220,-5194.283273
8 Jan 2027 05:17:24.336,-55985.225409,-11204.585931,-5890.481259
8 Jan 2027 05:41:36.547,-54103.470533,-12454.592794,-6520.839848
8 Jan 2027 06:04:24.396,-52092.939486,-13577.213923,-7085.901968
8 Jan 2027 06:25:49.887,-49982.296367,-14574.632604,-7586.873833
8 Jan 2027 06:45:55.527,-47797.402612,-15450.243075,-8025.569114
8 Jan 2027 07:04:44.211,-45561.377568,-16208.381872,-8404.272321
8 Jan 2027 07:22:19.150,-43294.637955,-16854.109807,-8725.627903
8 Jan 2027 07:38:43.758,-41015.070936,-17392.986313,-8992.525902
8 Jan 2027 07:54:01.563,-38738.225551,-17830.887375,-9208.009853
8 Jan 2027 08:08:16.164,-36477.438072,-18173.869389,-9375.207876
8 Jan 2027 08:21:31.145,-34244.099414,-18428.033437,-9497.264427
8 Jan 2027 08:33:50.042,-32047.824158,-18599.436846,-9577.295822
8 Jan 2027 08:45:08.709,-29921.075522,-18693.347166,-9618.091700
8 Jan 2027 08:55:25.393,-27891.276514,-18717.941172,-9623.906667
8 Jan 2027 09:04:45.892,-25960.547819,-18682.710857,-9599.581535
8 Jan 2027 09:13:17.067,-24123.706627,-18595.906181,-9549.300468
8 Jan 2027 09:21:14.363,-22338.921212,-18461.139536,-9474.764643
8 Jan 2027 09:28:40.054,-20607.753825,-18281.939421,-9377.775959
8 Jan 2027 09:35:36.167,-18931.759390,-18061.654919,-9260.044915
8 Jan 2027 09:42:04.649,-17311.948170,-17803.420524,-9123.170915
8 Jan 2027 09:48:07.376,-15748.796369,-17510.133181,-8968.630606
8 Jan 2027 09:53:46.130,-14242.393944,-17184.454987,-8797.779735
8 Jan 2027 09:59:02.615,-12792.430614,-16828.791505,-8611.842063
8 Jan 2027 10:03:58.458,-11398.241814,-16445.277159,-8411.902063
8 Jan 2027 10:08:35.206,-10058.875540,-16035.767103,-8198.900998
8 Jan 2027 10:12:54.344,-8773.058626,-15601.796903,-7973.616268
8 Jan 2027 10:16:57.294,-7539.251474,-15144.559490,-7736.649836
8 Jan 2027 10:20:45.437,-6355.588544,-14664.831939,-7488.390728
8 Jan 2027 10:24:20.132,-5219.828977,-14162.877507,-7228.964950
8 Jan 2027 10:27:42.746,-4129.249672,-13638.282994,-6958.152265
8 Jan 2027 10:30:53.621,-3086.390922,-13092.923116,-6676.915123
8 Jan 2027 10:33:48.194,-2121.025895,-12545.084676,-6394.666040
8 Jan 2027 10:36:09.722,-1331.777468,-12062.449173,-6146.207292
8 Jan 2027 10:38:16.297,-622.319347,-11598.481463,-5907.516931
8 Jan 2027 10:40:05.736,-7.425025,-11170.436091,-5687.433861
8 Jan 2027 10:41:06.794,335.729509,-10919.987265,-5558.716557
8 Jan 2027 10:42:08.071,679.838912,-10659.780492,-5425.023700
8 Jan 2027 10:43:42.610,1209.440226,-10239.976383,-5209.411731
8 Jan 2027 10:45:22.814,1767.662264,-9769.140928,-4967.703123
8 Jan 2027 10:47:05.834,2336.115945,-9255.249671,-4704.019975
8 Jan 2027 10:48:48.783,2895.932233,-8709.251190,-4424.000876
8 Jan 2027 10:50:29.566,3432.729308,-8141.059837,-4132.743191
8 Jan 2027 10:52:03.917,3921.716868,-7576.988379,-3843.734373
8 Jan 2027 10:53:32.392,4364.847406,-7018.278135,-3557.600781
8 Jan 2027 10:54:55.745,4765.246628,-6464.449639,-3274.088336
8 Jan 2027 10:56:14.676,5125.777835,-5914.733315,-2992.796154
8 Jan 2027 10:57:12.397,5375.921437,-5496.951933,-2779.090441
8 Jan 2027 10:58:12.397,5622.115367,-5048.416507,-2549.723791
8 Jan 2027 10:59:22.895,5891.042184,-4502.910962,-2270.866702
8 Jan 2027 11:00:31.553,6129.033460,-3952.985103,-1989.856546
8 Jan 2027 11:01:38.884,6336.650042,-3396.726885,-1705.718818
8 Jan 2027 11:02:45.637,6514.555293,-2829.966458,-1416.328605
8 Jan 2027 11:03:51.395,6660.107715,-2258.456530,-1124.628636
8 Jan 2027 11:04:55.037,6770.789542,-1694.810121,-837.057150
8 Jan 2027 11:05:56.910,6848.278016,-1139.024286,-553.609865
8 Jan 2027 11:06:57.423,6894.169219,-590.232070,-273.842545
8 Jan 2027 11:07:57.027,6909.759103,-46.909782,3.022612
8 Jan 2027 11:08:36.527,6903.748234,313.535037,186.633501
8 Jan 2027 11:09:19.224,6882.623838,702.581818,384.755747
8 Jan 2027 11:10:16.928,6830.200076,1225.963890,651.190260
8 Jan 2027 11:11:14.200,6751.658852,1740.897021,913.211056
8 Jan 2027 11:12:13.646,6643.254560,2268.659515,1181.640663
8 Jan 2027 11:13:16.409,6500.616861,2816.477645,1460.139415
8 Jan 2027 11:14:21.279,6324.787848,3370.662878,1741.734737
8 Jan 2027 11:15:28.661,6114.077016,3931.662745,2026.644771
8 Jan 2027 11:16:38.845,5867.132217,4498.685561,2314.457959
8 Jan 2027 11:17:49.777,5592.233601,5052.767334,2595.546956
