rx (km),ry (km),rz (km),vx (km/sec),vy (km/sec),vz (km/sec),mass (kg),time (sec)
5847.6060400104125,-4783.739780190845,-3.082635465396357e-19,8.341006177750424,5.803564274996571,1.1992756587195574e-19,219.29169366600937,848061.295808022
5851.325587785049,-4781.150952867671,-2.5477552317620887e-19,8.338631237416818,5.805562048707188,1.1992977177271829e-19,219.28724832906317,848061.7418066573
5855.044076261082,-4778.561234991876,-2.0128652061170797e-19,8.336255945328794,5.80755779642275,1.199319569248633e-19,219.282802992117,848062.1878052924
5858.761505281994,-4775.970627467122,-1.4779654809546142e-19,8.333880303731698,5.809551518578203,1.1993412134883345e-19,219.27835765517085,848062.6338039277
5862.47787469247,-4773.379131196625,-9.430561486761541e-20,8.331504314868408,5.811543215611974,1.1993626506506247e-19,219.27391231822466,848063.0798025628
5866.1931843382035,-4770.786747083405,-4.081373015927017e-20,8.329127980979566,5.81353288796559,1.1993838809399147e-19,219.2694669812785,848063.5258011981
5869.9074340656725,-4768.193476030533,1.2679096807662559e-20,8.326751304303855,5.8155205360833335,1.1994049045610115e-19,219.2650216443323,848063.9717998332
5873.620623722629,-4765.59931894055,6.61728568203521e-20,8.324374287077381,5.8175061604130445,1.1994257217187714e-19,219.26057630738615,848064.4177984685
5877.332753157552,-4763.004276716129,1.1966754067515466e-19,8.32199693153435,5.819489761405192,1.1994463326181098e-19,219.25613097043998,848064.8637971038
5881.043822220187,-4760.408350259409,1.7316313917747653e-19,8.319619239906404,5.821471339513784,1.1994667374600232e-19,219.2516856334938,848065.3097957389
5884.753830761,-4757.811540472655,2.266596431416409e-19,8.317241214423284,5.823450895195425,1.199486936444897e-19,219.24724029654763,848065.7557943742
5888.462778631724,-4755.2138482576,2.8015704338939706e-19,8.314862857311986,5.825428428910463,1.1995069296355784e-19,219.24279495960147,848066.2017930093
5892.170665684818,-4752.6152745161025,3.336553307438395e-19,8.312484170797577,5.827403941121871,1.1995267172411753e-19,219.23834962265528,848066.6477916446
5895.877491773996,-4750.01582014948,3.871544960490746e-19,8.310105157103276,5.829377432295168,1.1995462999489918e-19,219.23390428570912,848067.0937902797
5899.583256753695,-4747.4154860591725,4.40654530176537e-19,8.307725818449107,5.831348902900123,1.1995656777615146e-19,219.22945894876295,848067.539788915
5903.287960479552,-4744.814273146164,4.941554239772e-19,8.305346157053595,5.833318353408576,1.1995848505927192e-19,219.22501361181676,848067.9857875501
5906.991602808181,-4742.212182311225,5.476571683232579e-19,8.302966175134452,5.835285784293464,1.1996038190242666e-19,219.2205682748706,848068.4317861854
5910.694183596988,-4739.609214455165,6.011597541028906e-19,8.300585874903861,5.837251196035066,1.1996225829892084e-19,219.2161229379244,848068.8777848204
5914.395702704639,-4737.005370478245,6.546631721911099e-19,8.298205258572237,5.839214589116042,1.1996411425603425e-19,219.21167760097825,848069.3237834558
5918.096159990506,-4734.400651280844,7.081674134850738e-19,8.295824328349973,5.841175964019045,1.1996594981728446e-19,219.2072322640321,848069.7697820908
5921.795555315225,-4731.795057762791,7.616724688915877e-19,8.293443086443812,5.843135321231592,1.1996776499943246e-19,219.2027869270859,848070.2157807262
5925.493888540139,-4729.188590824033,8.151783293261657e-19,8.291061535058578,5.845092661243688,1.1996955982303186e-19,219.19834159013973,848070.6617793612
5929.191159527851,-4726.58125136396,8.686849857135444e-19,8.288679676396473,5.847047984548811,1.1997133430881296e-19,219.19389625319357,848071.1077779965
5932.887368141668,-4723.973040282076,9.221924289877195e-19,8.286297512657747,5.849001291642959,1.1997308847760132e-19,219.18945091624738,848071.5537766316
5936.582514246153,-4721.363958477331,9.75700650092089e-19,8.28391504604003,5.850952583025554,1.1997482235107921e-19,219.18500557930122,848071.9997752669
5940.276597706577,-4718.754006848786,1.0292096399796618e-18,8.28153227873897,5.8529018591985675,1.199765359488429e-19,219.18056024235503,848072.445773902
5943.969618389394,-4716.143186295026,1.082719389610405e-18,8.27914921294759,5.854849120667393,1.1997822928024334e-19,219.17611490540887,848072.8917725373
5947.661576162029,-4713.531497714405,1.1362298899492071e-18,8.276765850856812,5.856794367940108,1.1997990237612004e-19,219.1716695684627,848073.3377711724
5951.352470892689,-4710.918942005308,1.1897411319822353e-18,8.274382194655512,5.858737601527393,1.199815552770674e-19,219.1672242315165,848073.7837698077
5955.0423024508245,-4708.305520065557,1.2432531067053558e-18,8.271998246529632,5.860678821943726,1.1998318798648962e-19,219.16277889457035,848074.2297684428
5958.731070706592,-4705.691232793075,1.2967658051126937e-18,8.269614008663266,5.862618029705882,1.1998480051475958e-19,219.15833355762416,848074.6757670781
5962.418775531383,-4703.076081085214,1.3502792182106513e-18,8.267229483237983,5.864555225333886,1.1998639289075177e-19,219.153888220678,848075.1217657133
5966.105416797302,-4700.460065839438,1.4037933370162197e-18,8.264844672433266,5.866490409350345,1.199879651358667e-19,219.1494428837318,848075.5677643485
5969.790994377687,-4697.843187952638,1.4573081525556523e-18,8.262459578425961,5.868423582281241,1.1998951727086574e-19,219.14499754678565,848076.0137629837
5973.4755081465855,-4695.225448321806,1.5108236558645233e-18,8.260074203390921,5.870354744654996,1.199910493165066e-19,219.14055220983946,848076.4597616189
5977.158957979273,-4692.606847843361,1.5643398379876056e-18,8.257688549500335,5.872283897003417,1.1999256129354915e-19,219.1361068728933,848076.9057602541
5980.8413437517365,-4689.987387413821,1.6178566899789973e-18,8.2553026189244,5.874211039860743,1.199940532227701e-19,219.1316615359471,848077.3517588893
5984.52266534112,-4687.367067929212,1.671374202901995e-18,8.252916413830722,5.876136173764445,1.1999552512495383e-19,219.12721619900094,848077.7977575245
5988.20292262554,-4684.745890285319,1.7248923678292415e-18,8.250529936384568,5.878059299254902,1.19996977020889e-19,219.12277086205478,848078.2437561597
5991.882115483877,-4682.123855377941,1.778411175838756e-18,8.248143188746564,5.879980416878369,1.1999840889707252e-19,219.1183255251086,848078.6897547949
5995.560243796241,-4679.50096410229,1.8319306180033193e-18,8.245756173079887,5.881899527177569,1.1999982081505384e-19,219.11388018816243,848079.1357534301
5999.237307443441,-4676.877217353684,1.8854506854498274e-18,8.243368891547652,5.883816630695091,1.200012128573569e-19,219.10943485121626,848079.5817520653
6002.913306307512,-4674.252616026844,1.938971369306028e-18,8.240981346300735,5.885731727989355,1.2000258496022878e-19,219.10498951427007,848080.0277507005
6006.58824027119,-4671.627161016595,1.9924926606668204e-18,8.238593539491479,5.88764481961662,1.2000393713673133e-19,219.1005441773239,848080.4737493357
6010.262109218427,-4669.000853217163,2.046014550668114e-18,8.236205473272681,5.889555906132321,1.2000526944546884e-19,219.09609884037772,848080.9197479708
6013.934913033877,-4666.373693522876,2.0995370304441972e-18,8.233817149792708,5.891464988097429,1.200065818749989e-19,219.09165350343156,848081.3657466061
6017.606651603406,-4663.74568282746,2.1530600911338795e-18,8.23142857119853,5.8933720660745115,1.2000787446137606e-19,219.08720816648537,848081.8117452412
6021.277324813587,-4661.116822024738,2.2065837238980303e-18,8.22903973963459,5.8952771406291475,1.2000914723811185e-19,219.0827628295392,848082.2577438764
6024.946932552136,-4658.487112008019,2.2601079199032106e-18,8.226650657242534,5.89718021233031,1.2001040021697959e-19,219.07831749259302,848082.7037425116
6028.615474707728,-4655.856553670363,2.313632670324232e-18,8.22426132616172,5.8990812817497025,1.2001163341887298e-19,219.07387215564685,848083.1497411468
6032.282951169791,-4653.225147904826,2.3671579663452718e-18,8.221871748529365,5.9009803494614665,1.2001284686463964e-19,219.0694268187007,848083.595739782
6035.949361828976,-4650.59289560387,2.420683799159754e-18,8.219481926479995,5.902877416043032,1.2001404057523832e-19,219.0649814817545,848084.0417384172
6039.614706576614,-4647.959797660034,2.474210159970537e-18,8.217091862146074,5.904772482074142,1.2001521457161652e-19,219.06053614480834,848084.4877370525
6043.278985305251,-4645.325854965262,2.5277370399897167e-18,8.214701557657358,5.906665548137801,1.2001636887457948e-19,219.05609080786215,848084.9337356876
6046.942197908124,-4642.691068411578,2.581264430438739e-18,8.212311015141546,5.908556614819326,1.2001750350505852e-19,219.051645470916,848085.3797343229
6050.604344279679,-4640.055438890399,2.634792322546051e-18,8.209920236723477,5.910445682707451,1.2001861846331225e-19,219.0472001339698,848085.825732958
6054.2654243150455,-4637.418967293227,2.6883207075403195e-18,8.207529224526207,5.912332752392867,1.200197137916139e-19,219.04275479702363,848086.2717315933
6057.925437910561,-4634.781654510952,2.741849576684675e-18,8.205137980670193,5.914217824469308,1.200207895471343e-19,219.03830946007744,848086.7177302284
6061.584384963254,-4632.143501434545,2.795378921248779e-18,8.202746507273334,5.91610089953345,1.2002184571223715e-19,219.03386412313128,848087.1637288637
6065.242265371276,-4629.50450895445,2.8489087324915795e-18,8.200354806451005,5.917981978184895,1.20022882298061e-19,219.02941878618512,848087.6097274988
6068.89907903374,-4626.864677960845,2.902439001692012e-18,8.19796288031634,5.919861061025778,1.200238993385896e-19,219.02497344923893,848088.0557261341
6072.554825850495,-4624.224009343897,2.955969720134662e-18,8.195570730980247,5.9217381486607055,1.2002489684868825e-19,219.02052811229277,848088.5017247692
6076.209505722593,-4621.582503993152,3.0095008791150037e-18,8.19317836055095,5.923613241697416,1.200258748535434e-19,219.01608277534658,848088.9477234045
6079.863118551768,-4618.9401627982415,3.0630324699385167e-18,8.190785771134548,5.9254863407459535,1.200268333745584e-19,219.0116374384004,848089.3937220396
6083.515664240954,-4616.296986648169,3.1165644839201413e-18,8.188392964834392,5.927357446419541,1.2002777243270517e-19,219.00719210145422,848089.8397206749
6087.167142693751,-4613.652976432012,3.1700969123841144e-18,8.18599994375176,5.929226559333635,1.2002869204898003e-19,219.00274676450806,848090.28571931
6090.8175538149735,-4611.008133038229,3.2236297466604468e-18,8.183606709981863,5.931093680111128,1.200295922115616e-19,218.9983014275619,848090.7317179453
6094.466897510093,-4608.362457355344,3.2771629780739587e-18,8.181213265624555,5.9329588093684675,1.2003047297566673e-19,218.9938560906157,848091.1777165805
6098.115173685794,-4605.715950271262,3.330696597996675e-18,8.178819612778572,5.934821947723147,1.2003133439861082e-19,218.98941075366955,848091.6237152157
